Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Afghanistan","AFG","NA","NA","NA","8.44416322679218","1.05555578746555","11.1752702416587","5.55413762257501","13.7402049898513","3.61136839226168","21.0206487363678","8.43329048161792","6.11368516942299","14.4347412879524"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Albania","ALB","6.66662051466615","7.94033142118306","4.23137101197186","5.77349056968097","5.70955658121403","5.72081995256856","5.43101273397927","5.90000000000003","7.52999999999999","3.35000000000005","3.70999999999992","2.55000000000003","1.41999999999996"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Algeria","DZA","2.20000069191137","4.61252374366961","5.59999998090331","7.20000001837104","4.30000000314628","5.90000000198965","1.69999999833333","3.39999999839098","1.99999999999999","1.59997965389935","3.60016906640861","2.80001825165273","3.2999913838345"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","American Samoa","ASM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Andorra","ADO","1.16578706437875","6.06678059681872","6.42684513850158","12.0239197396079","8.06950429074125","7.83970449604648","4.58531059335641","0.078039377902499","-8.59425600818136","-3.81798602402674","-5.34797718118854","-4.80267503725287","-1.76001032768896"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Angola","AGO","3.01207616575117","4.22096515556321","13.8217925122883","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Antigua and Barbuda","ATG","5.04176929743556","-3.19424189288979","2.92425143016098","5.91363142470426","5.28642014860594","6.08322843204205","13.3764001850193","9.49894448015539","0.07111102052761","-12.0360150576178","-7.14299133491195","-1.79343560355176","4.01954183888284"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Argentina","ARG","-0.788998929008571","-4.40883969595698","-10.8944848114851","8.83704077566954","9.02957332125902","9.19848898286102","8.40286856609245","7.96557324797851","3.07494550317222","0.0500244563851311","9.45157833146635","8.38645145563733","0.801760179229973"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Armenia","ARM","5.89999999999978","9.55664149553445","13.186300532067","14.0407950559649","10.4678418639969","13.8657112498155","13.1980035154758","13.7492019586216","6.90000000168239","-14.149988640087","2.1999999991457","4.69999999861844","7.20000000328227"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Aruba","ABW","-0.364695778713454","-2.16445940890385","0.465289865491144","7.51947237328494","1.17669048367502","0.380390971382511","2.35511944298051","-3.65462624193272","-6.88130206359888","-5.65350208612952","NA","NA","NA"
